MATCH	REWRITE
^(?P<x>software)$	softvér
softwar	softvér
^(?P<x>hardware)	hárdvér
hardwar	hárdvér
filosof	filozof
(?P<x>diplomati).	dyplomaty
carlos	karlos
café	kafé
carmen	karmen
canon	kanon
srdc	src
tesc	tesk
oscar	oskar
idio	idyo
prezidi	prezídy
prezídi	prezídy
jidiš	jidyš
scott	skot
server	servr
mozaik	mozajk
josef	jozef
klause	klauze
klausovi	klauzovi
krause	krauze
krausovi	krauzovi
leasing	lízing
stadium	stádyum
stadiu	stádyu
stadia	stádya
(?P<x>stádi).	stády
přesvědč	přesvěč
svědč	svěč
asij	azij
fantasy	fantazy
etni	etny
telecom	telekom
econom	ekonom
jack	džek
jazz	džez
optimisti	optymisty
protiú	proti-ú
vyú	vy-ú
lai	la-i
mail	mejl
antibiotik	antybiotyk
komunism	komunyzm
chinaski	činaski
chilli	čili
stipendi	stypendy
definiti	definyty
party	párty
technoparty	technopárty
inje	iňe
pódi	pódy
slavii	slávii
slavie	slávie
# TODO: what about syllabic consonants? → write some rules to label them
# optionally
washington	vošinktn
charles	čárls
potter	potr
volkswagen	folksvágn
fiction	fikšn
design	dyzajn
asie	ázie
asii	ázii
afghánistán	afgánystán
vitamin	vitamín
minus	mínus
celsia	celzia
impulsy	impulzy
fischer	fišer
ophél	ofél
summit	samit
toyot	tojot
optimism	optymizm
resort	rezort
iont	jont
mítink	mítynk
exo	egzo
(?P<x>exoti).	egzoty
thriller	triler
přese	přeze
kreseb	krezeb
kasin	kasín
wales	vejls
hollywood	holyvúd
phil	fil
kokain	kokajn
intuiti	intuity
indonés	indonéz
piano	piáno
orgasm	orgazm
podtitul	podtytul
laser	lejzr
tchajwan	tajvan
combi	kombi
copy	kopy
protein	protejn
facto	fakto
pizz	pic
whisk	visk
shop	šop
puzzle	pucle
diet	dyet
tequi	teki
gay	gej
lady	lejdy
group	grúp
bosch	boš
bush	buš
brown	braun
sezona	sezóna
playoff	plejof
czech	ček
grace	grejs
business	biznys
pojďme	pojťme
googl	gúgl
^(?P<x>google)$	gúgl
university	junyversity
country	kántry
schulz	šulc
alexander	alexandr
alois	alojz
blues	blús
time	tajm
black	blek
instinktiv	instynktyv
office	ofis
media	médya
charlott	šarlot
charlotte	šarlot
aaron	áron
einstein	ajnštajn
interview	intervjú
jamese	džejmse
jimmy	džimi
holding	holdyng
# TODO: maybe smuggle a /ɣ/ in there?
těchh	těh
neumann	nojman
dick	dyk
churchill	čerčil
money	many
boom	búm
jerry	džery
green	grín
beatles	bítls
peugeot	pežot
holocaust	holokaust
credit	kredyt
tsunami	cunami
brandy	brendy
kvantitati	kvantytaty
schmeling	šmeling
nicole	nykol
nicol	nykol
^(?P<x>nikol)$	nykol
nikolaj	nykolaj
nikola	nykola
(?P<x>nikol)[kcč]	nykol
octav	oktáv
franka	frenka
czechtrade	čektrejd
czechtradu	čektrejdu
debut	debit
stockholm	stokholm
people	pípl
roy	roj
multimedi	multymedy
opel	opl
team	tým
revue	reví
rath	rát
christopher	kristofr
fair	fér
berger	bergr
^(?P<x>out)$	aut
hadamczik	hadamčik
fabi	fábi
flora	flóra
portfol	portfól
arthur	artur
telefónic	telefónyk
arlene	árlín
life	lajf
iq	íkvé
juli	júli
franz	franc
charlie	čárlí
schumacher	šumachr
karoser	karosér
abraham	ejbrehem
free	frí
justin	džastyn
uveďme	uveťme
biodiverz	biodyverz
horváth	horvát
makeup	mejkap
british	brityš
rutin	rutyn
schwarz	švarc
handicap	hendykep
ghett	get
radioaktiv	radyoaktyv
victor	viktor
představme	předstafme
(?P<x>farmaceuti).	farmaceuty
dublin	dablin
konkurs	konkurz
cash	keš
electric	elektrik
zombie	zombí
diabetik	dyabetyk
classic	klasik
kognitiv	kognytyv
bismarck	bizmark
ruin	rujn
gang	geng
malajs	malajz
panasonic	panasonyk
haag	hág
ralph	ralf
seifert	sajfrt
annette	anet
museum	mjúzíum
khaki	kaki
sherry	šeri
konsorci	konzorci
marcus	markus
sherlock	šerlok
buďme	buťme
malcolm	malkolm
alfred	alfréd
hacke	hek
focus	fokus
fritz	fric
playboy	plejboj
piknik	piknyk
poesi	poezi
olympic	olympik
reggae	rege
menzel	mencl
(?P<x>didakti).	dydakty
chevrolet	ševrolet
dalajlam	dalajlám
^(?P<x>franco)$	franko
isaac	ajzek
tbili	t-bili
poker	pokr
genius	džínyjus
ulti	ulty
picass	pikas
diesel	dýzl
coca	koka
cola	kola
cocacola	kokakola
akreditiv	akredytyv
isabel	izabel
innsbruck	inzbruk
semitism	semityzm
marco	marko
použ	po-už
zentiv	zentyv
mechanism	mechanyzm
organism	organyzm
atlanti	atlanty
autenti	autenty
benjam	beňam
benj	bendž
dekorativ	dekoratyv
dinosaur	dynosaur
hegel	hégl
jseš	seš
jsi	si
jsme	sme
^(?P<x>jsou)$	sou
jste	ste
(?P<x>kyberneti).	kybernety
sentiment	sentyment
telekomuni	telekomuny
neurva	ne-urva
neustál	ne-ustál
# NOTE: you can also add prefixes that don't contain any rewrites
# but that are allowed to occur in front of rewritten substrings
ne	ne
mikro	mikro
nej	nej
