myslela	mislela
jenomže	jenomže
radši	rači,ratši
která	která
řek	řek
čas	čas
místo	místo
vopravdu	vopravdu
nich	ňix
spolu	spolu
nechce	nexce
mysím	misím
buď	buť
myslel	mislel
rád	rát
najednou	najednou
chci	xci
pátek	pátek
podstatě	poctaťe,potstaťe
ke	ke
takovýho	takovího
kterej	kterej
devět	devjet
vem	vem
nima	ňima
přišla	přišla
pěkně	pjekňe
dělala	ďelala
velký	velkí
čoveče	čoveče
školy	školi
udělal	uďelal
nakonec	nakonec
dělali	ďelali
tejden	tejden
říká	říká
při	při
rozumíš	rozumíš
koupit	koupit
muset	muset
málo	málo
musela	musela
jezdí	jezďí
pár	pár
řekl	řekl
babička	babička
ses	ses
ním	ňím
nemáš	nemáš
hodin	hoďin
mnou	mnou
týden	tíden
neměl	nemňel
nejlepší	nejlepší
moje	moje
roku	roku
ježiš	ježiš
žádný	žádní
každý	každí
poslední	posledňí,posleďňí
sebou	sebou
sice	sice
šlo	šlo
opravdu	opravdu
su	su
jejich	jejix
řikali	řikali
štyři	štiři
anebo	anebo
jaký	jakí
druhý	druhí
chápeš	xápeš
jinýho	jiního
celou	celou
tisíce	ťisíce
jiný	jiní
dostal	dostal
blbý	blbí
sama	sama
čověk	čovjek
řekne	řekne
klidně	klidňe,kliďňe
větší	vječí,vjetší
todleto	todleto
podívat	poďívat
moh	mox
chvíli	xvíli
minut	minut
holky	holki
esi	esi
domů	domú
ví	ví
pokud	pokut
druhej	druhej
dobrej	dobrej
tej	tej
pivo	pivo
začal	začal
hezký	heskí
pže	bže
malý	malí
hodinu	hoďinu
špatně	špatňe,špaťňe
dej	dej
sobotu	sobotu
dobu	dobu
dobrá	dobrá
dělaj	ďelaj
dáš	dáš
přímo	přímo
pryč	prič
nemůže	nemúže
někoho	ňekoho
pondělí	ponďelí,poňďelí
neměla	nemňela
chtěli	xťeli
vzít	vzít
něho	ňeho
děcka	ďecka
sobě	sobje
stě	sťe
mamka	mamka
te	te
nevadí	nevaďí
fak	fak
barák	barák
tym	tim
stačí	stačí
chvilku	xvilku
řeknu	řeknu
vubec	vubec
mět	mňet
možný	možní
sta	sta
vidiš	viďiš
pěkný	pjekní
jela	jela
věc	vjec
znamená	znamená
paní	paňí
prče	prče
pamatuju	pamatuju
vzal	vzal
koupil	koupil
musím	musím
dny	dni
nechci	nexci
nahoře	nahoře
deš	deš
jestli	jestli
Praze	praze
hrát	hrát
dole	dole
začátku	začátku
nemůžu	nemúžu
musíme	musíme
škole	škole
nahoru	nahoru
udělali	uďelali
mohl	mohl
měsíc	mňesíc
druhou	druhou
museli	museli
neměli	nemňeli
neví	neví
její	její
nový	noví
enom	enom
nějaký	ňejakí
teďko	teťko
naše	naše
celkem	celkem
proti	proťi
stranu	stranu
auta	auta
tobě	tobje
těm	ťem
však	fšak
kousek	kousek
dvakrát	dvakrát
ma	ma
dat	dat
potřebuju	potřebuju
kafe	kafe
daleko	daleko
teďkon	teťkon
nikde	ňigde
navíc	navíc
pude	pude
štyrycet	štiricet
super	super
jezdit	jezďit
zejtra	zejtra
mohlo	mohlo
maji	maji
kerý	kerí
děda	ďeda
blbě	blbje
starý	starí
nevíš	nevíš
říkali	říkali
náhodou	náhodou
vzala	vzala
ňákýho	ňákího
dní	dňí,ďňí
dávat	dávat
budeme	budeme
šedesát	šedesát
jé	jé
voda	voda
nejdřív	nejdříf
nedá	nedá
hezky	heski
udělá	uďelá
maš	maš
chodil	xoďil
rychle	rixle
neco	neco
pani	paňi
koupila	koupila
ňákym	ňákim
pocit	pocit
dáme	dáme
sú	sú
samý	samí
prstě	prsťe
tým	tím
dokonce	dokonce
svoje	svoje
venku	veŋku
chodila	xoďila
prachy	praxi
ven	ven
jedeš	jedeš
bydlí	bidlí
vyloženě	viložeňe
takovýdle	takovídle
zatim	zaťim
hovno	hovno
děláš	ďeláš
abys	abis
pudu	pudu
udělala	uďelala
táta	táta
Prahy	prahi
stát	stát
přitom	přitom
doby	dobi
nemaj	nemaj
domu	domu
uvidíme	uviďíme
tech	tex
stalo	stalo
myslíš	mislíš
cože	cože
dvou	dvou
nemáme	nemáme
dolů	dolú
starší	starší
fotky	fotki
nechat	nexat
holka	holka
chodili	xoďili
vědět	vjeďet
třetí	třeťí
zajímavý	zajímaví
také	také
poď	poť
noci	noci
můj	múj
taťka	taťka
stejný	stejní
vodu	vodu
říc	říc
přišlo	přišlo
čtyři	čtiři
televizi	televizi
jednoho	jednoho
dybych	dibix
kurva	kurva
znám	znám
nohy	nohi
příští	příšťí
neviděl	neviďel
neděli	neďeli
jídlo	jídlo
tehdy	tehdi
líbí	líbí
budete	budete
nechtěl	nexťel
strašný	strašní
jinej	jinej
dělám	ďelám
době	dobje
přišli	přišli
nejvíc	nejvíc
nejsem	nejsem
víno	víno
můžou	múžou
kluci	kluci
chtít	xťít
letos	letos
kluk	kluk
Honza	honza
hlavu	hlavu
baráku	baráku
hraje	hraje
peněz	peňes
nemam	nemam
mysíš	misíš
film	film
dítě	ďíťe
můžem	múžem
autem	autem
né	né
boty	boti
nevěděla	nevjeďela
velkej	velkej
řekli	řekli
maso	maso
jedu	jedu
jasné	jasné
takto	takto
volala	volala
ni	ňi
předtim	přeťim,přetťim
podivat	poďivat
zítra	zítra
učit	učit
přijeli	přijeli
úterý	úterí
udělám	uďelám
tebou	tebou
nemůžeš	nemúžeš
funguje	fuŋguje
krásný	krásní
dalo	dalo
středu	středu
pomalu	pomalu
různý	rúzní
napsal	napsal
máma	máma
žádnej	žádnej
teho	teho
něm	ňem
které	které
životě	živoťe
myslím	mislím
ježišmarja	ježišmarja
fajn	fajn
dostala	dostala
přijede	přijede
nejhorší	nejhorší
loni	loňi
jistě	jisťe
divný	ďivní
devadesát	devadesát
chlap	xlap
náš	náš
dveře	dveře
znova	znova
spát	spát
přijel	přijel
platit	plaťit
věcí	vjecí
nemohla	nemohla
náma	náma
horší	horší
těžký	ťeškí
ňákejch	ňákejx
kuli	kuli
Brně	brňe
nechceš	nexceš
mit	mit
míň	míň
dohromady	dohromadi
vody	vodi
hráli	hráli
hlavní	hlavňí
čeho	čeho
život	život
štvrtek	štvrtek
pojedu	pojedu
osumdesát	osumdesát
měsíce	mňesíce
školu	školu
nevěděl	nevjeďel
nechal	nexal
líbilo	líbilo
dou	dou
velice	velice
pře	pře
největší	nejvječí,nejvjetší
cenu	cenu
psal	psal
nechápu	nexápu
Martin	marťin
cosi	cosi
byste	biste
uděláme	uďeláme
špatný	špatní
neviděla	neviďela
drahý	drahí
strany	strani
patnáct	patnáct
měly	mňeli
nebudou	nebudou
hnedka	hnetka
čem	čem
zima	zima
volal	volal
nešlo	nešlo
čaj	čaj
vobčas	vopčas
celá	celá
umí	umí
nebyli	nebili
chuť	xuť
začne	začne
támle	támle
problémy	problémi
nechtěla	nexťela
koho	koho
tež	teš
sami	sami
řekni	řekňi
prý	prí
minule	minule
maminka	mamiŋka
kdysi	gdisi
jakej	jakej
kerej	kerej
chcu	xcu
psala	psala
vidim	viďim
krásně	krásňe
rovnou	rovnou
rodiče	roďiče
nech	nex
dostali	dostali
ruce	ruce
plus	plus
mega	mega
způsobem	spúsobem
záleží	záleží
pan	pan
metrů	metrú
kvůli	kvúli
dostat	dostat
dělají	ďelají
bavili	bavili
září	září
nemusí	nemusí
kterou	kterou
roků	rokú
brzo	brzo
viděli	viďeli
pes	pes
tvoje	tvoje
stará	stará
dvanáct	dvanáct
dávali	dávali
třikrát	třikrát
naši	naši
jedině	jeďiňe
Jana	jana
noc	noc
napsala	napsala
kolikrát	kolikrát
často	často
tydlety	tidleti
konec	konec
druhá	druhá
takovejch	takovejx
straně	straňe
škoda	škoda
hrál	hrál
konci	konci
divej	ďivej
nebudeš	nebudeš
ňáky	ňáki
mluvit	mluvit
starej	starej
musej	musej
malej	malej
kilo	kilo
velká	velká
sranda	sranda
nemusíš	nemusíš
procent	procent
podivej	poďivej
občas	opčas
kolo	kolo
znáš	znáš
zeptat	zeptat
nepamatuju	nepamatuju
druhé	druhé
chtěj	xťej
třea	třea
zvláštní	zvláštňí,zvlášťňí
času	času
pěti	pjeťi
dom	dom
abysme	abisme
některý	ňekterí
koukal	koukal
žádná	žádná
vlasy	vlasi
internetu	internetu
chleba	xleba
cesta	cesta
těžko	ťeško
prosím	prosím
platí	plaťí
dyžtak	dištak
vzali	vzali
tagle	tagle
napsat	napsat
děkuju	ďekuju
celé	celé
začala	začala
dostane	dostane
ptala	ptala
nebyly	nebili
strach	strax
ruku	ruku
čim	čim
potřebuje	potřebuje
malá	malá
tudle	tudle
koupili	koupili
kdybych	gdibix
Brna	brna
tydle	tidle
nedělá	neďelá
jinde	jinde
jezdil	jezďil
číslo	číslo
blbost	blbost
klidu	klidu
dybys	dibis
dává	dává
svůj	svúj
seděl	seďel
najít	najít
kilometrů	kilometrú
jakou	jakou
zatím	zaťím
spoustu	spoustu
jedný	jední
bolí	bolí
autobus	autobus
stálo	stálo
někomu	ňekomu
muselo	muselo
cestu	cestu
teďkom	teťkom
kole	kole
doufám	doufám
akce	akce
potřeba	potřeba
nějaké	ňejaké
mimo	mimo
koukala	koukala
ptal	ptal
přijít	přijít
mluví	mluví
zitra	zitra
našel	našel
mladý	mladí
město	mňesto
líp	líp
dávno	dávno
pokoj	pokoj
letech	letex
čím	čím
bordel	bordel
stál	stál
moře	moře
internet	internet
teprve	teprve
řekneš	řekneš
rádi	ráďi
prase	prase
záchod	záxot
tem	tem
telefon	telefon
píše	píše
tohleto	tohleto
víkend	víkent
škola	škola
případě	přípaďe
jedou	jedou
díky	ďíki
chtělo	xťelo
chcete	xcete
běž	bješ
vypadalo	vipadalo
ukaž	ukaš
só	só
pořádně	pořádňe,pořáďňe
nějakou	ňejakou
kus	kus
četla	četla
nikam	ňikam
chapeš	xapeš
